station,fullname,lat,lon
ALM,Alnmouth,55.38974,-1.61322
BWK,Berwick-Upon-Tweed,55.770421,-2.005266
DAR,Darlington,54.518722,-1.470767
DHM,Durham,54.701794,-1.428431
DON,Doncaster,53.5227681,54.8646918
DUN,Dunbar,55.998223,-2.5127418
EDB,Edinburgh Waverly,55.9501983,-3.2076356
GRA,Grantham,52.9066415,-0.6429123
KGX,London Kings Cross,51.5317073,-0.1247665
MPT,Morpeth,55.1627367,-1.6796057
NCL,Newcastle,54.9689158,-1.6135916
NNG,Newark North Gate,53.0806023,-0.8066843
NTR,Northallerton,54.3331996,-1.4405195
PBO,Peterborough,52.5765623,-0.2030495
RET,Retford,53.3165119,-0.948996
SNO,St Neots,52.2044176,-0.2674173
SVG,Stevenage,51.9032498,0.2072642
YRK,York,53.9590483,-1.0941307
